215,178,54
225,132,8
242,174,31
204,112,13
213,125,21
223,148,8
219,147,19
199,169,56
223,152,12
226,145,10
178,128,17
201,103,34
177,143,47
230,160,31
142,66,1
155,87,5
163,91,15
207,160,30
201,118,9
190,118,26
186,111,52
143,77,4
168,111,30
222,124,16
174,107,45
199,115,16
199,120,15
181,85,8
217,130,9
222,134,18
209,124,18
146,76,15
232,149,13
246,197,66
238,147,20
211,124,3
238,168,10
201,111,3
222,150,13
231,152,12
243,194,49
237,150,27
190,135,10
181,112,3
191,123,23
159,68,1
169,63,1
220,122,9
124,28,0
141,56,5
226,147,19
240,172,47
229,151,13
229,148,14
188,108,10
174,93,4
221,159,21
183,104,15
209,133,26
232,157,14
205,119,4
235,152,19
181,81,6
215,113,9
165,58,3
205,111,4
171,93,14
234,152,11
205,140,7
198,130,5
200,134,13
230,162,35
219,133,5
173,84,2
185,90,1
188,115,17
218,120,5
235,166,21
200,131,6
154,63,5
205,122,18
240,181,40
148,54,1
138,49,0
186,90,9
195,102,15
208,127,36
187,101,2
202,115,3
130,70,2
134,54,2
136,56,0
198,102,5
132,57,1
175,91,3
181,93,7
191,124,15
195,99,1
138,44,3
