20,80,26
122,180,0
57,144,1
51,126,44
172,215,1
161,232,64
151,220,52
30,97,2
78,171,39
42,116,1
1,95,1
95,170,79
20,111,18
2,81,0
0,118,6
71,169,48
7,69,4
5,82,0
102,197,7
86,186,38
123,200,24
70,159,5
6,81,0
99,185,36
7,105,6
98,181,51
171,236,108
12,108,11
103,179,29
182,248,150
71,137,47
116,180,40
140,199,55
27,119,8
80,165,12
82,172,40
102,139,0
109,200,1
54,140,41
68,139,9
12,86,0
2,179,0
124,211,8
67,148,7
81,168,53
42,109,6
91,196,16
61,135,14
122,206,7
75,156,1
79,147,0
51,122,4
156,208,63
202,249,73
77,160,10
79,131,7
128,193,5
60,100,3
118,169,4
67,154,11
148,211,0
32,106,7
123,202,59
111,198,41
40,132,0
82,166,78
112,195,43
170,226,89
114,189,70
86,183,44
139,183,2
119,185,35
119,156,25
84,163,36
48,139,8
83,186,9
72,159,3
86,168,5
77,151,4
122,201,56
122,201,60
117,182,2
118,206,34
101,178,0
18,63,4
29,104,0
120,198,50
114,206,7
136,203,74
109,201,4
140,208,69
73,146,3
77,158,56
86,147,7
122,186,12
183,215,56
2,91,0
51,155,6
79,169,55
143,187,6
112,178,6
